periode,descripcio_curta,temperatura,descripcio
Today,Sunny,High: 74 °F,"Today: Sunny, with a high near 74. Southwest wind 3 to 7 mph. "
Tonight,Mostly Clear,Low: 36 °F,"Tonight: Mostly clear, with a low around 36. South wind around 5 mph becoming calm  in the evening. "
Saturday,Sunny,High: 73 °F,"Saturday: Sunny, with a high near 73. Light and variable wind. "
SaturdayNight,Clear,Low: 39 °F,"Saturday Night: Clear, with a low around 39. South southwest wind around 6 mph becoming calm  in the evening. "
VeteransDay,Sunny,High: 75 °F,"Veterans Day: Sunny, with a high near 75. North northwest wind around 7 mph becoming northeast in the morning. "
SundayNight,Mostly Clear,Low: 39 °F,"Sunday Night: Mostly clear, with a low around 39."
Monday,Sunny,High: 75 °F,"Monday: Sunny, with a high near 75."
MondayNight,Mostly Clear,Low: 39 °F,"Monday Night: Mostly clear, with a low around 39."
Tuesday,Mostly Sunny,High: 73 °F,"Tuesday: Mostly sunny, with a high near 73."
