periode,descripcio_curta,temperatura,descripcio
ThisAfternoon,ScatteredSnow Showersand Breezy,High: 33 °F,"This Afternoon: Scattered snow showers, mainly after 4pm.  Partly sunny, with a high near 33. Breezy, with a west wind 15 to 20 mph, with gusts as high as 35 mph.  Chance of precipitation is 30%."
Tonight,Mostly Cloudyand Breezythen SlightChance Snowand Windy,Low: 21 °F,"Tonight: A slight chance of snow between midnight and 3am.  Cloudy, then gradually becoming partly cloudy, with a low around 21. Windy, with a west wind 15 to 25 mph, with gusts as high as 45 mph.  Chance of precipitation is 20%."
Saturday,Sunny andBreezy thenMostly Sunny,High: 32 °F,"Saturday: Increasing clouds, with a high near 32. Breezy, with a northwest wind 15 to 20 mph decreasing to 5 to 10 mph in the afternoon. Winds could gust as high as 30 mph. "
SaturdayNight,Mostly Cloudy,Low: 26 °F,"Saturday Night: Mostly cloudy, with a low around 26. South wind 5 to 10 mph. "
VeteransDay,Partly Sunny,High: 38 °F,"Veterans Day: Partly sunny, with a high near 38. Southwest wind around 10 mph. "
SundayNight,Mostly Cloudy,Low: 26 °F,"Sunday Night: Mostly cloudy, with a low around 26. Southwest wind around 10 mph becoming northwest after midnight. "
Monday,Partly Sunny,High: 33 °F,"Monday: Partly sunny, with a high near 33. Northwest wind around 10 mph. "
MondayNight,Mostly Cloudy,Low: 20 °F,"Monday Night: Mostly cloudy, with a low around 20. Northwest wind around 10 mph. "
Tuesday,Partly Sunny,High: 29 °F,"Tuesday: Partly sunny, with a high near 29."
