periode,descripcio_curta,temperatura,descripcio
Today,Mostly Cloudy,High: 35 °F,"Today: Mostly cloudy, with a high near 35. Calm wind. "
Tonight,Snow Likelythen ChanceSnow,Low: 26 °F,"Tonight: Snow likely, mainly before 11pm.  Mostly cloudy, with a low around 26. North northwest wind around 6 mph becoming calm.  Chance of precipitation is 70%. New snow accumulation of less than a half inch possible. "
Saturday,Chance Snow,High: 38 °F,"Saturday: A chance of snow before 11am, then a chance of snow showers after 11am.  Partly sunny, with a high near 38. Northwest wind around 5 mph becoming calm  in the morning.  Chance of precipitation is 30%. New snow accumulation of less than a half inch possible. "
SaturdayNight,Partly Cloudy,Low: 21 °F,"Saturday Night: Partly cloudy, with a low around 21. Light and variable wind. "
VeteransDay,Mostly Sunny,High: 37 °F,"Veterans Day: Mostly sunny, with a high near 37. Calm wind. "
SundayNight,Partly Cloudy,Low: 18 °F,"Sunday Night: Partly cloudy, with a low around 18."
Monday,Sunny,High: 39 °F,"Monday: Sunny, with a high near 39."
MondayNight,Mostly Clear,Low: 22 °F,"Monday Night: Mostly clear, with a low around 22."
Tuesday,Mostly Sunny,High: 45 °F,"Tuesday: Mostly sunny, with a high near 45."
