periode,descripcio_curta,temperatura,descripcio
ThisAfternoon,ChanceShowers,High: 42 °F,"This Afternoon: A chance of showers, mainly before 3pm.  Cloudy, with a high near 42. West wind 7 to 10 mph.  Chance of precipitation is 50%. New precipitation amounts of less than a tenth of an inch possible. "
Tonight,ChanceRain/Snowthen MostlyCloudy,Low: 24 °F,"Tonight: A slight chance of rain and snow showers before 8pm, then a chance of snow showers between 8pm and midnight.  Mostly cloudy, with a low around 24. West wind 11 to 16 mph.  Chance of precipitation is 30%. New snow accumulation of less than a half inch possible. "
Saturday,Slight ChanceSnow Showersand Breezy,High: 34 °F,"Saturday: A slight chance of snow showers after 9am.  Mostly cloudy, with a high near 34. Breezy, with a west wind 16 to 21 mph.  Chance of precipitation is 20%."
SaturdayNight,Mostly Cloudy,Low: 23 °F,"Saturday Night: Mostly cloudy, with a low around 23. West wind 6 to 11 mph. "
VeteransDay,Partly Sunny,High: 39 °F,"Veterans Day: Partly sunny, with a high near 39. Calm wind becoming southwest 5 to 7 mph in the morning. "
SundayNight,Mostly Cloudy,Low: 28 °F,"Sunday Night: Mostly cloudy, with a low around 28."
Monday,Mostly Cloudy,High: 45 °F,"Monday: Mostly cloudy, with a high near 45."
MondayNight,Rain/SnowLikely,Low: 32 °F,"Monday Night: Rain and snow showers likely, becoming all snow after 1am.  Cloudy, with a low around 32. Chance of precipitation is 60%."
Tuesday,Snow ShowersLikely,High: 36 °F,"Tuesday: Snow showers likely.  Cloudy, with a high near 36. Chance of precipitation is 60%."
