periode,descripcio_curta,temperatura,descripcio
ThisAfternoon,Partly Sunnyand Blustery,High: 19 °F,"This Afternoon: Partly sunny, with a high near 19. Blustery, with a north northwest wind 11 to 20 mph, with gusts as high as 30 mph. "
Tonight,DecreasingClouds,Low: 7 °F,"Tonight: Mostly cloudy, then gradually becoming clear, with a low around 7. Northwest wind 5 to 8 mph becoming light and variable. "
Saturday,Slight ChanceSnow thenSnow Likely,High: 23 °F,"Saturday: Snow likely, mainly after noon.  Increasing clouds, with a high near 23. South southeast wind 8 to 16 mph, with gusts as high as 25 mph.  Chance of precipitation is 70%. New snow accumulation of around an inch possible. "
SaturdayNight,Snow Likelythen ChanceSnow,Low: 18 °F,"Saturday Night: Snow likely, mainly before midnight.  Cloudy, with a low around 18. South southeast wind 6 to 14 mph becoming west northwest after midnight. Winds could gust as high as 18 mph.  Chance of precipitation is 60%."
VeteransDay,Slight ChanceSnow thenCloudy,High: 26 °F,"Veterans Day: A 20 percent chance of snow before noon.  Cloudy, with a high near 26. Northwest wind 10 to 15 mph, with gusts as high as 23 mph. "
SundayNight,Mostly Cloudy,Low: 12 °F,"Sunday Night: Mostly cloudy, with a low around 12. Northwest wind 10 to 13 mph, with gusts as high as 18 mph. "
Monday,Partly Sunny,High: 18 °F,"Monday: Partly sunny, with a high near 18. Northwest wind 9 to 11 mph. "
MondayNight,Partly Cloudy,Low: 5 °F,"Monday Night: Partly cloudy, with a low around 5. West northwest wind 7 to 9 mph. "
Tuesday,Mostly Sunny,High: 22 °F,"Tuesday: Mostly sunny, with a high near 22. West northwest wind 5 to 7 mph. "
