periode,descripcio_curta,temperatura,descripcio
Today,Sunny,High: 58 °F,"Today: Sunny, with a high near 58. East northeast wind 9 to 13 mph, with gusts as high as 21 mph. "
Tonight,Clear,Low: 29 °F,"Tonight: Clear, with a low around 29. East wind 3 to 7 mph. "
Saturday,Sunny,High: 60 °F,"Saturday: Sunny, with a high near 60. Light and variable wind becoming southwest 5 to 8 mph in the afternoon. "
SaturdayNight,Clear,Low: 32 °F,"Saturday Night: Clear, with a low around 32. West southwest wind 5 to 7 mph becoming light and variable. "
VeteransDay,Sunny,High: 58 °F,"Veterans Day: Sunny, with a high near 58. North northwest wind 6 to 14 mph, with gusts as high as 22 mph. "
SundayNight,Clear,Low: 30 °F,"Sunday Night: Clear, with a low around 30."
Monday,Sunny,High: 54 °F,"Monday: Sunny, with a high near 54."
MondayNight,Clear,Low: 27 °F,"Monday Night: Clear, with a low around 27."
Tuesday,Sunny,High: 57 °F,"Tuesday: Sunny, with a high near 57."
